url,redirect_url
http://dbpedia.org/resource/Alfred_Kleiner,http://dbpedia.org/page/Alfred_Kleiner
http://dbpedia.org/resource/Alfred_Landé,http://dbpedia.org/page/Alfred_Landé
http://dbpedia.org/resource/Alfred_North_Whitehead,http://dbpedia.org/page/Alfred_North_Whitehead
http://dbpedia.org/resource/Alfred_P._Sloan_Foundation,http://dbpedia.org/page/Alfred_P._Sloan_Foundation
http://dbpedia.org/resource/Alfvén_wave,http://dbpedia.org/page/Alfvén_wave
http://dbpedia.org/resource/Algeria,http://dbpedia.org/page/Algeria
http://dbpedia.org/resource/Alhazen's_problem,http://dbpedia.org/page/Alhazen's_problem
http://dbpedia.org/resource/Ali_Javan,http://dbpedia.org/page/Ali_Javan
http://dbpedia.org/resource/Aligarh,"http://dbpedia.org/page/Aligarh,_Uttar_Pradesh"
http://dbpedia.org/resource/Aligarh_District,http://dbpedia.org/page/Aligarh_district
http://dbpedia.org/resource/Aligarh_Muslim_University,http://dbpedia.org/page/Aligarh_Muslim_University
http://dbpedia.org/resource/Al-Jahiz,http://dbpedia.org/page/Al-Jahiz
http://dbpedia.org/resource/Al-Khazini,http://dbpedia.org/page/Al-Khazini
http://dbpedia.org/resource/Alladi_Ramakrishnan,http://dbpedia.org/page/Alladi_Ramakrishnan
http://dbpedia.org/resource/Allahabad,http://dbpedia.org/page/Allahabad
http://dbpedia.org/resource/Allan_Bloom,http://dbpedia.org/page/Allan_Bloom
http://dbpedia.org/resource/Allan_Gotthelf,http://dbpedia.org/page/Allan_Gotthelf
http://dbpedia.org/resource/Allan_Mackintosh,http://dbpedia.org/page/Allan_Mackintosh
http://dbpedia.org/resource/Allan_Sandage,http://dbpedia.org/page/Allan_Sandage
http://dbpedia.org/resource/Allerly_House,http://dbpedia.org/page/Allerly_House
http://dbpedia.org/resource/Allied-occupied_Germany,http://dbpedia.org/page/Allied-occupied_Germany
http://dbpedia.org/resource/All-Union_Research_Institute_of_Oxygen_Engineering,http://dbpedia.org/page/All-Union_Research_Institute_of_Oxygen_Engineering
http://dbpedia.org/resource/Alpha_decay,http://dbpedia.org/page/Alpha_decay
http://dbpedia.org/resource/Alpher–Bethe–Gamow_paper,http://dbpedia.org/page/Alpher–Bethe–Gamow_paper
http://dbpedia.org/resource/Alsace,http://dbpedia.org/page/Alsace
http://dbpedia.org/resource/Alsace-Lorraine,http://dbpedia.org/page/Alsace-Lorraine
http://dbpedia.org/resource/Al-Sijzi,http://dbpedia.org/page/Al-Sijzi
http://dbpedia.org/resource/Al-Tawhidi,http://dbpedia.org/page/Abū_Hayyān_al-Tawhīdī
"http://dbpedia.org/resource/Alton,_Hampshire","http://dbpedia.org/page/Alton,_Hampshire"
http://dbpedia.org/resource/AMA_Scientific_Achievement_Award,http://dbpedia.org/page/AMA_Scientific_Achievement_Award
http://dbpedia.org/resource/Amer_Iqbal,http://dbpedia.org/page/Amer_Iqbal
http://dbpedia.org/resource/American_Academy_of_Arts_and_Sciences,http://dbpedia.org/page/American_Academy_of_Arts_and_Sciences
http://dbpedia.org/resource/American_Achievement_Golden_Plate_Award,http://dbpedia.org/page/American_Achievement_Golden_Plate_Award
